,Joe,Nour,Jillian,joe-nour-diff,joe-jillian-diff,jillian-nour-diff,rowwise_std,text
2123440393,1.0,6.0,7.0,5.0,6.0,1.0,3.214550253664318,Are you taking off -JOHN DOE- chasing people around the room naked or bob who simply ask a girl out 1 too many times?
-807255547,1.0,6.0,7.0,5.0,6.0,1.0,3.214550253664318,"Please don't let -JOHN DOE- be a nonce aswell, I'm running out of people to look up to"
139041592,3.0,8.0,8.0,5.0,5.0,0.0,2.8867513459481287,"“I’m going to rape you like I rape my daughter,” is what #-JOHN DOE- told his victims."
710916188,3.0,4.0,8.0,1.0,5.0,4.0,2.6457513110645907,"Somebody was putting -JOHN DOE- in a movie? They should just call that shit off, gonna break the tomato meter."
-890918614,1.0,5.0,6.0,4.0,5.0,1.0,2.6457513110645907,Saw -JOHN DOE- in the trends...knew exactly what that was going to be about.
856399650,2.0,3.0,7.0,1.0,5.0,4.0,2.6457513110645907,BREAKING: -JOHN DOE- Dropping Out Of Alabama Senate Race; State GOP Leaders Pick <OTHER TARGET 1> As Emergency Replacement
1931898992,2.0,6.0,7.0,4.0,5.0,1.0,2.6457513110645907,"But painting all the people who work on the show with the same brush is basically harassing people who are also victims in this. The situation is already shit. Judgement for anyone but -JOHN DOE- is messy and honestly, not your place."
1627529673,3.0,7.0,8.0,4.0,5.0,1.0,2.6457513110645907,"There were so many allegations made against -JOHN DOE- and solid evidence to support it, including voice recordings. So far there is no evidence against <OTHER TARGET 2>, so you really cant compare the two."
-168433012,2.0,5.0,7.0,3.0,5.0,2.0,2.516611478423583,These stories abt <OTHER TARGET 2> and -JOHN DOE- where everyone knew about their behavior but nobody said anything...just imagine (cont)
259806042,2.0,5.0,7.0,3.0,5.0,2.0,2.516611478423583,These stories abt -JOHN DOE- and <OTHER TARGET 1> where everyone knew about their behavior but nobody said anything...just imagine (cont)
-2095232212,2.0,2.0,6.0,0.0,4.0,4.0,2.3094010767585034,Taking bets on how fast -JOHN DOE-’s attorneys will ask to reschedule the hearing or to issue another gag order because all this media attention deprived him of his right to a fair trial
1869847654,1.0,5.0,5.0,4.0,4.0,0.0,2.3094010767585034,-JOHN DOE- getting caught up too?! Not Ari Gold b pleaseee
-1496069875,3.0,7.0,7.0,4.0,4.0,0.0,2.309401076758503,-JOHN DOE- is trying to admit to everything but being a pedophile in his statement.
-491644690,1.0,2.0,5.0,1.0,4.0,3.0,2.081665999466133,"If #-JOHN DOE- behaved the way #<OTHER TARGET 2>ChildMolester and @realDonaldTrump have, he’d be running “For Your Oscar Consideration” ads in Variety right now. So an imperfect and unsatisfying “apology” from Louis, but better than nothing at all. #Resist"
-703311549,1.0,5.0,4.0,4.0,3.0,1.0,2.081665999466133,"And had the <OTHER TARGET 2> scandal not happened, most people still wouldn't know. #HollywoodPriorities #-JOHN DOE-"
-2123914151,2.0,3.0,6.0,1.0,4.0,3.0,2.081665999466133,BREAKING: <OTHER TARGET 2> Dropping Out Of Alabama Senate Race; State GOP Leaders Pick -JOHN DOE- As Emergency Replacement
-250382277,2.0,6.0,5.0,4.0,3.0,1.0,2.0816659994661326,After reading about -JOHN DOE- on RUSH HOUR 2 set you just know his biggest concern over losing the Hefner biopic is access to all the extras
203566645,3.0,4.0,7.0,1.0,4.0,3.0,2.0816659994661326,"My fave ""hot take"" on all this is the anon person in the Buzzfeed piece who seems to think it's guys like -JOHN DOE- who are the true victims. For facing consequences after like 10 years."
1469069630,3.0,6.0,7.0,3.0,4.0,1.0,2.0816659994661326,"This is not two friends out getting drinks or on a date, this is at work and you’re a senior editor at journalism company. And you’re -JOHN DOE-...let’s be honest the dude looks like a hairy Quasimodo."
2126260345,4.0,7.0,8.0,3.0,4.0,1.0,2.0816659994661326,"I can't believe that -JOHN DOE- abused of them. I can't believe he made their work a nightmare. I'm so sorry for Danneel, Sophia, Hilarie, Shantel, Joy, I'm with all of you. I love you."
1330124130,4.0,3.0,7.0,1.0,3.0,4.0,2.0816659994661326,"So, why won't Netflix end it's contract with -JOHN DOE-? They've ended ties with <OTHER TARGET 3> and <OTHER TARGET 1>..."
-1827187303,2.0,5.0,6.0,3.0,4.0,1.0,2.0816659994661326,"yeah ummm....if Crews didn't explicitly consent to -JOHN DOE- grabbing his junk, then he can't grab his junk. That's kinda how it works."
-1588474086,2.0,4.0,6.0,2.0,4.0,2.0,2.0,But other than the Fierce Five showing support for McKayla online (except one member) very few showed support for victims of -JOHN DOE- or spoken out against USAG
1687738197,2.0,4.0,6.0,2.0,4.0,2.0,2.0,how I feel about not just the accusations on -JOHN DOE- but every single one that has been heard. URL
-1372104049,2.0,4.0,6.0,2.0,4.0,2.0,2.0,I wonder how many more years the show will last with all of those rape accusations against -JOHN DOE-?
-1205092936,3.0,5.0,7.0,2.0,4.0,2.0,2.0,"And in other news... -JOHN DOE- has been accused of 6 sexual assaults. Wonder what his Ratpack co. partner, Steve Mnuchin makes of that?"
1758082136,1.0,3.0,5.0,2.0,4.0,2.0,2.0,"Hmmm ... when -JOHN DOE- lost a couple years ago, did his victims help him lose? 🤔"
-896241493,3.0,5.0,7.0,2.0,4.0,2.0,2.0,Genuinely shocked about -JOHN DOE- raping accusation.
1211914201,3.0,6.0,6.0,3.0,3.0,0.0,1.7320508075688772,"This is not in re: anything in particular, though maybe we're due for a reckoning? Thinking of college stories about a -JOHN DOE--esque dude"
-2088937733,4.0,7.0,7.0,3.0,3.0,0.0,1.7320508075688772,This isn’t the first time I’ve heard of -JOHN DOE- doing some nasty shit! URL
-499318503,2.0,5.0,5.0,3.0,3.0,0.0,1.7320508075688772,-JOHN DOE- is former Gawker. Wonder what the women of Gawker dot com have to say about him being fired from Vox for sexual abuse.
-1659706193,5.0,8.0,8.0,3.0,3.0,0.0,1.7320508075688772,Most days you can look at the trending topics on Twitter and assume one of the names is a predator. I saw -JOHN DOE- and immediately knew.
1250317918,7.0,4.0,7.0,3.0,0.0,3.0,1.7320508075688772,"Why was truthfulness of men accusing <OTHER TARGET 1> immediately accepted,but when women accuse -JOHN DOE- of statutory rape w/details, witnesses, dates, etc., the response is “if it’s true”... If Alabama elects him to the senate, I will boycott anything *Alabama* #BoycottAlabama"
-880895791,1.0,4.0,4.0,3.0,3.0,0.0,1.7320508075688772,"Was -JOHN DOE- only problematic when drinking, or even when not (like, say, POTUS)?"
-814295255,7.0,9.0,10.0,2.0,3.0,1.0,1.5275252316519468,Fuck -JOHN DOE- and absolutely fuck this trash ass cult URL
-342165889,2.0,5.0,4.0,3.0,2.0,1.0,1.5275252316519468,I still don’t know who -JOHN DOE- is and I am pretty sure I am missing nothing
1687111477,1.0,4.0,3.0,3.0,2.0,1.0,1.5275252316519468,"-JOHN DOE- this time, 2017 probably the horniest? 🤔⚡️ “Portia de Rossi says she was sexually harassed by -JOHN DOE-” URL"
-1064888810,4.0,5.0,7.0,1.0,3.0,2.0,1.5275252316519465,"<OTHER TARGET 1>, <OTHER TARGET 2>, and -JOHN DOE- aren’t truly going to have to pay for what they did and be held accountable. They’ve made their films"
-1535031466,4.0,5.0,7.0,1.0,3.0,2.0,1.5275252316519465,"-JOHN DOE-, <OTHER TARGET 2>, and <OTHER TARGET 3> aren’t truly going to have to pay for what they did and be held accountable. They’ve made their films"
469687287,3.0,5.0,6.0,2.0,3.0,1.0,1.5275252316519465,"-JOHN DOE- played Max (guy who owns the record store) and I remember how much Peyton (Hilarie Burton) seemed to adore him. with all the harassment allegations coming out against him now from the cast, I have to say that she is a darn good actress! #OneTreeHill so disappointed!"
-1901112095,1.0,2.0,4.0,1.0,3.0,2.0,1.5275252316519465,"So, why won't Netflix end it's contract with <OTHER TARGET 2>? They've ended ties with -JOHN DOE- and <OTHER TARGET 1>..."
-2127694591,5.0,7.0,8.0,2.0,3.0,1.0,1.5275252316519465,"While it's good that -JOHN DOE- has been suspended and is being investigated, these allegations are nothing new. @DCComics have known for years and done nothing until the public atmosphere changed. This is shameful."
-1668995301,6.0,5.0,8.0,1.0,2.0,3.0,1.5275252316519465,"If #<OTHER TARGET 1> behaved the way #-JOHN DOE-ChildMolester and @realDonaldTrump have, he’d be running “For Your Oscar Consideration” ads in Variety right now. So an imperfect and unsatisfying “apology” from Louis, but better than nothing at all. #Resist"
996693254,1.0,2.0,4.0,1.0,3.0,2.0,1.5275252316519465,"So, why won't Netflix end it's contract with <OTHER TARGET 2>? They've ended ties with <OTHER TARGET 3> and -JOHN DOE-..."
-17644090,4.0,5.0,7.0,1.0,3.0,2.0,1.5275252316519465,But I hope that -JOHN DOE- gets what he deserves. I stand with you and I believe you. Always. #OneTreeHill
-1659795646,2.0,4.0,5.0,2.0,3.0,1.0,1.5275252316519465,I can't be the first person to observe that -JOHN DOE-'s career has collapsed like a House of Cards....
280342680,3.0,6.0,5.0,3.0,2.0,1.0,1.5275252316519465,"With that name, you can only become a sexual harasser. ""-JOHN DOE-""...I mean...come on..."
-763194066,4.0,5.0,7.0,1.0,3.0,2.0,1.5275252316519465,"<OTHER TARGET 1>, -JOHN DOE-, and <OTHER TARGET 3> aren’t truly going to have to pay for what they did and be held accountable. They’ve made their films"
-759158930,3.0,4.0,6.0,1.0,3.0,2.0,1.5275252316519465,not surprised about -JOHN DOE- at all tbh
1570297614,3.0,5.0,6.0,2.0,3.0,1.0,1.5275252316519465,"""I have a lot of beliefs and I live by none of them"" - -JOHN DOE-"
-1324970937,7.0,4.0,6.0,3.0,1.0,2.0,1.5275252316519465,"It really is important to know that people are innocent till proven guilty. -JOHN DOE- has been convicted, sentenced and imprisoned. Moore has not. He has been accused supposedly after 40years. Why now ,a month before an election?"
-830387377,3.0,5.0,6.0,2.0,3.0,1.0,1.5275252316519465,"As an outspoken advocate for sexually abused girls/women, have you talked with Mr. -JOHN DOE- about these four?"
2058527191,4.0,6.0,7.0,2.0,3.0,1.0,1.5275252316519465,This comment in response to -JOHN DOE-'s apology exemplifies the culture that enabled his behavior to go unchecked for so long. URL
-2078314362,3.0,6.0,5.0,3.0,2.0,1.0,1.5275252316519465,-JOHN DOE- masturbated in front of Olivia Munn. That’s an obscene gesture. Can someone please define sexual harassment?
-1127468622,4.0,6.0,7.0,2.0,3.0,1.0,1.5275252316519465,"The new category at the Academy Awards this year, Least Surprising Accusation, will probably go to -JOHN DOE-."
255454761,4.0,6.0,7.0,2.0,3.0,1.0,1.5275252316519465,"Now that explains a lot. I used to look up to -JOHN DOE-, not anymore. Always grateful to @HilarieBurton @SophiaBush @BethanyJoyLenz for their inspiring work."
394466603,5.0,7.0,8.0,2.0,3.0,1.0,1.5275252316519465,-JOHN DOE- admits to sexually harrassing people...I've never liked this jerk anyways. URL
-721182847,,2.0,4.0,,,2.0,1.4142135623730951,"Looks like -JOHN DOE-, <OTHER TARGET 1> (who I interviewed at my old job), and IGN’s <OTHER TARGET 2>. This has become a typical Monday."
-1250333996,,2.0,4.0,,,2.0,1.4142135623730951,"Looks like <OTHER TARGET 3>, -JOHN DOE- (who I interviewed at my old job), and IGN’s <OTHER TARGET 2>. This has become a typical Monday."
-1546347044,,2.0,4.0,,,2.0,1.4142135623730951,"Looks like <OTHER TARGET 3>, <OTHER TARGET 1> (who I interviewed at my old job), and IGN’s -JOHN DOE-. This has become a typical Monday."
26226402,7.0,9.0,9.0,2.0,2.0,0.0,1.1547005383792517,"threw up and took an hr-long shower after reading the -JOHN DOE- news. jesus f'ing christ, us NYU girls were familiar w/-JOHN DOE-. cannot deal today."
1982751239,9.0,7.0,9.0,2.0,0.0,2.0,1.1547005383792517,I get that suspension usually happens while information is collected but I will be shocked and disgusted if -JOHN DOE- is still listed as a WB employee by Monday. People won’t just forget about this. #Fire-JOHN DOE-
-1994565715,7.0,7.0,5.0,0.0,2.0,2.0,1.1547005383792517,"Yeah, I'm not seeing the disconnect here. It's the same as <OTHER TARGET 2> condemning -JOHN DOE- for wht happened with his son, then later on in the week, being exposed as a predator himself. I'm saying, if you committed the same crime, why are you out here talking shit"
272439790,6.0,6.0,8.0,0.0,2.0,2.0,1.1547005383792517,"To hell with -JOHN DOE-, <OTHER TARGET 3>, and <OTHER TARGET 2>."
1702719088,6.0,6.0,8.0,0.0,2.0,2.0,1.1547005383792517,"To hell with <OTHER TARGET 1>, -JOHN DOE-, and <OTHER TARGET 2>."
-433429221,4.0,6.0,6.0,2.0,2.0,0.0,1.1547005383792517,"like Political Islam of ISIS, liberalism of -JOHN DOE- and <OTHER TARGET 2> types is about getting access to women for sex."
-571674964,3.0,5.0,5.0,2.0,2.0,0.0,1.1547005383792517,House of Cards is being cancelled. all because -JOHN DOE- couldn't keep it in his pants
1064518140,7.0,7.0,9.0,0.0,2.0,2.0,1.1547005383792517,⚡️ “Actor -JOHN DOE- faced accusation of molesting 11-year-old” Heinous! URL
-684452787,3.0,5.0,5.0,2.0,2.0,0.0,1.1547005383792517,"That's what you get for sticking up for honest writers/artists/voice actors i guess (and no, i do NOT mean -JOHN DOE-, if youre wondering)"
-865261317,5.0,7.0,7.0,2.0,2.0,0.0,1.1547005383792517,I’m so pleased to see that -JOHN DOE- is over he was so overrated anyway sorry NOT sorry xoxoxox your show is ass
-869965513,6.0,6.0,8.0,0.0,2.0,2.0,1.1547005383792517,"You know what is so sad about this -JOHN DOE- sexual harassment? 15 women complained but nothing happened. It was only after 4 white men stepped forward that something was done. CW, WB, and Berlanti brushed the women complaints aside. Didn’t believe them."
-1145710644,3.0,5.0,5.0,2.0,2.0,0.0,1.1547005383792517,Another @Morning_Joe regular in hot water? #-JOHN DOE- Oh the irony is beautiful.
1497611886,6.0,6.0,8.0,0.0,2.0,2.0,1.1547005383792517,"To hell with <OTHER TARGET 1>, <OTHER TARGET 3>, and -JOHN DOE-."
-1472392201,5.0,5.0,7.0,0.0,2.0,2.0,1.1547005383792517,-JOHN DOE- was following me since 2014 ew gross just blocked him
246856983,4.0,6.0,6.0,2.0,2.0,0.0,1.1547005383792517,"like Political Islam of ISIS, liberalism of <OTHER TARGET 1> and -JOHN DOE- types is about getting access to women for sex."
1493462550,5.0,3.0,3.0,2.0,2.0,0.0,1.1547005383792515,"Why was truthfulness of men accusing -JOHN DOE- immediately accepted,but when women accuse <OTHER TARGET 2> of statutory rape w/details, witnesses, dates, etc., the response is “if it’s true”... If Alabama elects him to the senate, I will boycott anything *Alabama* #BoycottAlabama"
-2137930674,2.0,2.0,4.0,0.0,2.0,2.0,1.1547005383792515,".@NPR has been very upfront in its handling of the -JOHN DOE- incident. Thanks. See, things have gotten better since Bob Ewards was dumped."
-180030427,3.0,5.0,3.0,2.0,0.0,2.0,1.1547005383792515,"It's -JOHN DOE-, why call any of these people a Lord when they aren't worthy of it"
-1846524956,1.0,3.0,3.0,2.0,2.0,0.0,1.1547005383792515,how the fuck is -JOHN DOE- a real name of a real person and not someone's shitty psuedonym? It's just too... URL
-369970195,1.0,3.0,3.0,2.0,2.0,0.0,1.1547005383792515,Will she be talking about representing -JOHN DOE- next? Asking for a friend.
-1422081962,4.0,3.0,5.0,1.0,1.0,2.0,1.0,"NPR host identifies woman who complained about -JOHN DOE- as a ""junior colleague"". WTH?"
206154802,4.0,3.0,2.0,1.0,2.0,1.0,1.0,"A few days after an enlightening lecture on socialist feminism at our Praxis Party, @immerspaetlin goes in on the -JOHN DOE- scandal. #thread URL"
-903002598,5.0,6.0,7.0,1.0,2.0,1.0,1.0,Wow Casey <OTHER TARGET 2> and -JOHN DOE- are good friends both accused of sex crimes. Such a sick web in hollywood
1354767053,1.0,2.0,3.0,1.0,2.0,1.0,1.0,Now there’s (now ex-) Vox Managing Director (and Ex-Gawker Managing Editor) -JOHN DOE- too
-1212148843,6.0,7.0,8.0,1.0,2.0,1.0,1.0,-JOHN DOE- apologises for grabbing pussie are they all at it? U would think it it was a commen accurance by stars we all admire dirty bastards
-1407624614,5.0,6.0,7.0,1.0,2.0,1.0,1.0,Wow Casey -JOHN DOE- and <OTHER TARGET 1> are good friends both accused of sex crimes. Such a sick web in hollywood
-1421330156,4.0,5.0,6.0,1.0,2.0,1.0,1.0,Won't be able to refer to Rain Man on stage now. THANKS -JOHN DOE-. #anothervictim
-1610792554,3.0,5.0,4.0,2.0,1.0,1.0,1.0,-JOHN DOE- gets the Leslie Knope eye roll. URL
1026248131,4.0,5.0,6.0,1.0,2.0,1.0,1.0,"I understand that, off screen, accused sexual assailant -JOHN DOE- is a reserve deputy sheriff. Does he have to arrest himself, now?"
1807123322,3.0,5.0,4.0,2.0,1.0,1.0,1.0,Not surprised to hear about -JOHN DOE-. Good actor but clearly touched..
1825172575,5.0,6.0,4.0,1.0,1.0,2.0,1.0,No wonder -JOHN DOE- was screaming abt Trump months ago. Everyone screaming is probably got something to hide
-1646737538,6.0,7.0,8.0,1.0,2.0,1.0,1.0,"When she said ""Hey, -JOHN DOE-"" she didn't mean more size of your penis, your friggin pervert!"
-2043387414,2.0,3.0,4.0,1.0,2.0,1.0,1.0,"Not to defend him, but if my parents had named me -JOHN DOE-, I might have felt a little like a victim, too."
2117209600,4.0,5.0,6.0,1.0,2.0,1.0,1.0,What's with all these Hollywood dudes being called out for sexual harassment recently? Now my cuz -JOHN DOE- 🤦🏾‍♂️
1117160247,4.0,5.0,6.0,1.0,2.0,1.0,1.0,Sexual assault cases against -JOHN DOE-. Oh my my 😐
213861723,7.0,6.0,8.0,1.0,1.0,2.0,1.0,This news about -JOHN DOE- is breaking my heart into a million pieces. I hope he gets removed from The Royals
901073529,3.0,5.0,4.0,2.0,1.0,1.0,1.0,"Cmon man, -JOHN DOE- isn't even a good guy now?!"
601939158,9.0,8.0,10.0,1.0,1.0,2.0,1.0,This -JOHN DOE- story is terrible. No woman should ever be subjected to that type of abuse. Lock him up and throw away the key. Trash!
-506010003,3.0,5.0,4.0,2.0,1.0,1.0,1.0,"And had the -JOHN DOE- scandal not happened, most people still wouldn't know. #HollywoodPriorities #<OTHER TARGET 1>"
-838525615,,6.0,7.0,,,1.0,0.7071067811865476,How convenient of you to forget @BillClinton as a predator yet @Potus listed w #-JOHN DOE- #O'Reilly and #<OTHER TARGET 2> URL
1539570046,,6.0,7.0,,,1.0,0.7071067811865476,How convenient of you to forget @BillClinton as a predator yet @Potus listed w #<OTHER TARGET 1> #O'Reilly and #-JOHN DOE- URL
292722408,4.0,4.0,5.0,0.0,1.0,1.0,0.5773502691896258,The next #TheFlash looks cool though. I can't wait. Also isn't it hilarious/sad/akward that -JOHN DOE- was accused after this so very feminist episode?
373477961,7.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,Don’t ever believe -JOHN DOE-’s sins are in the past. At least five women abandoned their dream career because of -JOHN DOE- and DC Comics as an institution supported him while pushing them out. That’s for-fucking-ever.
170356004,7.0,8.0,8.0,1.0,1.0,0.0,0.5773502691896258,Firing -JOHN DOE- doesn't even meet the bare minimum for DC Comics now. Everyone who enabled it and kept him employed for years after knowing must be fired as well.
1532505158,5.0,6.0,6.0,1.0,1.0,0.0,0.5773502691896258,I know damn well!!!!😟😟😟 Please don't tell me this is true #-JOHN DOE-
173414078,7.0,8.0,8.0,1.0,1.0,0.0,0.5773502691896258,I disagree... -JOHN DOE- basically admitted he was a pedophile. <OTHER TARGET 2> as stated the accusations against him are false. -JOHN DOE- is such a well known perv he was mocked in a cartoon. “Help I escaped from K. -JOHN DOE-’s basement”
-2103277501,7.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,For the record I've hated -JOHN DOE- and been disgusted by his actions going back to NEWSRADIO.
-1508637053,6.0,7.0,7.0,1.0,1.0,0.0,0.5773502691896258,"I've tried to remain open minded to -JOHN DOE- over the years, but man, if Björk says you're a toxic garbage person...#DestroyPatriarchy"
-1449830284,3.0,4.0,3.0,1.0,0.0,1.0,0.5773502691896258,-JOHN DOE- will be ostracized but nothing happens to trump
708160449,6.0,6.0,7.0,0.0,1.0,1.0,0.5773502691896258,-JOHN DOE- Got inspired by G.O.T Joffrey Baratheon... both want their money's worth when they pay for sex. #pedogate#pizzagate
-411750589,7.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,Actually didn't need anymore reasons to dislike -JOHN DOE-. This guy has been an asshat for many many years. #-JOHN DOE- #-JOHN DOE- #sexualassault #NotSurprised #douchbag
721226466,7.0,8.0,7.0,1.0,0.0,1.0,0.5773502691896258,"Yeah, I'm not seeing the disconnect here. It's the same as -JOHN DOE- condemning <OTHER TARGET 1> for wht happened with his son, then later on in the week, being exposed as a predator himself. I'm saying, if you committed the same crime, why are you out here talking shit"
513425033,4.0,5.0,5.0,1.0,1.0,0.0,0.5773502691896258,Ug. Trigger warning on that -JOHN DOE- thread.
-565592021,4.0,3.0,4.0,1.0,0.0,1.0,0.5773502691896258,Waiting to see if the right wing defenders accuse Anthony Edwards of lying about abuse from -JOHN DOE- for $$$ Or is it just the women that must be lying gold-diggers?
1021949591,4.0,5.0,5.0,1.0,1.0,0.0,0.5773502691896258,I really admired -JOHN DOE- and <OTHER TARGET 2>. Past tense.
1419659900,8.0,7.0,8.0,1.0,0.0,1.0,0.5773502691896258,"As an avid reader, I was upset to learn about -JOHN DOE-, he has no place at your publication and must be fired immediately."
-657926729,7.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,Matt Damon and -JOHN DOE- are trash
-803671722,7.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,Feel sick for idolizing -JOHN DOE- my entire life. He's a real piece of shit.
879903157,6.0,7.0,7.0,1.0,1.0,0.0,0.5773502691896258,Sad that -JOHN DOE- has been allowed to get away with it. Shame on those who knew
-1029653438,7.0,8.0,7.0,1.0,0.0,1.0,0.5773502691896258,"In a completely unsurprising bit of news, -JOHN DOE- is a sexual predator."
1469294882,4.0,5.0,5.0,1.0,1.0,0.0,0.5773502691896258,I really admired <OTHER TARGET 1> and -JOHN DOE-. Past tense.
742783440,7.0,7.0,8.0,0.0,1.0,1.0,0.5773502691896258,Look ok i didn't normally I-told-you-so But -JOHN DOE- WANTS TO HURT PEOPLE
1361468833,8.0,8.0,9.0,0.0,1.0,1.0,0.5773502691896257,-JOHN DOE- is complete garbage
1175921357,9.0,8.0,9.0,1.0,0.0,1.0,0.5773502691896257,"I believe it. To the guillotine, -JOHN DOE-!!"
1038021347,8.0,8.0,9.0,0.0,1.0,1.0,0.5773502691896257,#burnitdownsis The women of OTH are so strong and i cannot describe how disgusted I am by -JOHN DOE-...I will always love and support the cast!
275493381,10.0,9.0,9.0,1.0,1.0,0.0,0.5773502691896257,How about a -JOHN DOE- severed head photo for a knee slapping cover.
1447155248,5.0,5.0,5.0,0.0,0.0,0.0,0.0,"Everyone stop bullying @ChristophrWood for a second, just because his character was douchebag doesn't mean he was. -JOHN DOE-'s the bad guy. So stop pointing fingers at people who didn't do anything, oh and none at Greg Berlanti either last I check he has done nothing. URL"
820560483,,5.0,5.0,,,0.0,0.0,... beyond their own will to power. It is much the same in the entertainment industry. 4/4 #<OTHER TARGET 1> #<OTHER TARGET 3> #-JOHN DOE- #youknowwhoyouare
-1097252718,8.0,8.0,8.0,0.0,0.0,0.0,0.0,I'm totally shocked and disgusted and mad! What a piece of 💩. Both George and his cohort. Where is #-JOHN DOE- now? Still in NY?
-2069241712,,5.0,5.0,,,0.0,0.0,... beyond their own will to power. It is much the same in the entertainment industry. 4/4 #<OTHER TARGET 1> #-JOHN DOE- #<OTHER TARGET 2> #youknowwhoyouare
930962557,,5.0,5.0,,,0.0,0.0,... beyond their own will to power. It is much the same in the entertainment industry. 4/4 #-JOHN DOE- #<OTHER TARGET 3> #<OTHER TARGET 2> #youknowwhoyouare
-1807675264,,,7.0,,,,,"<OTHER TARGET 3>, -JOHN DOE-, <OTHER TARGET 1> and now this? #SexualHarrasmentIsTheNewBlack"
-1099937768,,,,,,,,"Clarence Thomas, Bill Clinton, Bill Cosby, Bill O'Reilly, Roger Ailes, -JOHN DOE-, George H.W. Bush, <OTHER TARGET 1>, Pres. Donald Trump"
-730402868,,5.0,,,,,,"Bill Cosby, then <OTHER TARGET 3>, then <OTHER TARGET 1>... Is this some kind of real-life #13ReasonsWhy? -JOHN DOE-, welcome to your tape."
-507431224,,4.0,,,,,,"Bill Cosby, then -JOHN DOE-, then <OTHER TARGET 1>... Is this some kind of real-life #13ReasonsWhy? <OTHER TARGET 2>, welcome to your tape."
-277587868,,4.0,,,,,,"Bill Cosby, then <OTHER TARGET 3>, then -JOHN DOE-... Is this some kind of real-life #13ReasonsWhy? <OTHER TARGET 2>, welcome to your tape."
273119172,,3.0,,,,,,"Hopefully Trump RT @dmcparson: The other day it was <OTHER TARGET 1>, then <OTHER TARGET 2>, and today it's -JOHN DOE-. Who will it be tomorrow?"
289836945,,,,,,,,"Clarence Thomas, Bill Clinton, Bill Cosby, Bill O'Reilly, Roger Ailes, <OTHER TARGET 2>, George H.W. Bush, -JOHN DOE-, Pres. Donald Trump"
386968163,,4.0,,,,,,"Nah - harassment happens in PC places too. What connects -JOHN DOE-, <OTHER TARGET 1>, Trump, O'Reilly, Ailes: impunity. They were all untouchable."
644930918,,3.0,,,,,,"Hopefully Trump RT @dmcparson: The other day it was <OTHER TARGET 1>, then -JOHN DOE-, and today it's <OTHER TARGET 3>. Who will it be tomorrow?"
924879483,,3.0,,,,,,"Hopefully Trump RT @dmcparson: The other day it was -JOHN DOE-, then <OTHER TARGET 2>, and today it's <OTHER TARGET 3>. Who will it be tomorrow?"
998560487,,,7.0,,,,,"-JOHN DOE-, <OTHER TARGET 2>, <OTHER TARGET 1> and now this? #SexualHarrasmentIsTheNewBlack"
1849556570,,4.0,,,,,,"Nah - harassment happens in PC places too. What connects <OTHER TARGET 2>, -JOHN DOE-, Trump, O'Reilly, Ailes: impunity. They were all untouchable."
1931564228,,,7.0,,,,,"<OTHER TARGET 3>, <OTHER TARGET 2>, -JOHN DOE- and now this? #SexualHarrasmentIsTheNewBlack"
